City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rikitea,12,PF,1533709323,100,-23.12,-134.97,73.67,11.54
hobart,40,AU,1533708000,46,-42.88,147.33,53.6,10.29
pong,75,TH,1533706200,58,12.95,100.98,87.8,10.29
ilulissat,92,GL,1533707400,50,69.22,-51.1,57.2,19.46
buin,0,CL,1533704400,80,-33.73,-70.74,39.2,3.36
iraray,80,PH,1533709325,100,8.99,118.05,79.79,19.08
carnarvon,0,ZA,1533709325,73,-30.97,22.13,22.1,7.34
vaini,92,IN,1533709325,99,15.34,74.49,70.97,8.41
vila franca do campo,75,PT,1533708000,94,37.72,-25.43,68.0,4.7
castro,20,CL,1533709326,100,-42.48,-73.76,38.39,6.11
constitucion,56,MX,1533709327,81,23.99,-104.67,60.44,2.75
thompson,40,CA,1533706140,93,55.74,-97.86,59.0,4.7
busselton,44,AU,1533709327,91,-33.64,115.35,63.14,26.64
pisco,90,PE,1533704400,82,-13.71,-76.2,62.6,6.93
yizheng,92,CN,1533709328,100,24.67,103.43,63.77,3.2
khatanga,68,RU,1533709329,88,71.98,102.47,56.21,5.84
colares,20,PT,1533708000,87,38.8,-9.45,64.4,9.17
nikolskoye,0,RU,1533706200,72,59.7,30.79,66.2,4.47
uruacu,12,BR,1533709330,68,-14.52,-49.14,65.48,3.87
ushuaia,0,AR,1533704400,69,-54.81,-68.31,33.8,8.3
mar del plata,0,AR,1533709330,100,-46.43,-67.52,30.47,7.11
new norfolk,40,AU,1533708000,46,-42.78,147.06,53.6,10.29
qaanaaq,36,GL,1533709331,98,77.48,-69.36,35.69,5.32
hermanus,64,ZA,1533709332,97,-34.42,19.24,36.41,2.71
pitimbu,40,BR,1533704400,88,-7.47,-34.81,71.6,4.7
bredasdorp,64,ZA,1533708000,87,-34.53,20.04,42.8,4.7
maun,0,BW,1533708000,30,-19.99,23.42,59.0,4.7
high level,75,CA,1533708000,68,58.52,-117.13,64.4,2.24
mount isa,0,AU,1533708000,13,-20.73,139.49,73.4,12.75
saint george,20,GR,1533707400,54,39.45,22.34,78.8,4.7
east london,0,ZA,1533708000,37,-33.02,27.91,51.8,17.22
arraial do cabo,0,BR,1533709335,100,-22.97,-42.02,61.25,1.3
tasiilaq,48,GL,1533707400,93,65.61,-37.64,37.4,11.41
nampula,0,MZ,1533709335,53,-15.12,39.26,69.17,3.6
codrington,0,AU,1533709335,57,-28.95,153.24,61.7,3.09
khandbari,32,NP,1533709336,63,27.38,87.21,50.72,0.29
kodiak,1,US,1533703980,100,39.95,-94.76,69.8,2.75
pangnirtung,92,CA,1533709337,97,66.15,-65.72,41.72,9.91
atuona,92,PF,1533709337,100,-9.8,-139.03,77.27,21.94
yerbogachen,36,RU,1533709337,50,61.28,108.01,62.6,5.88
balkanabat,0,TM,1533709337,23,39.51,54.36,94.01,4.99
ribeira grande,20,PT,1533708000,83,38.52,-28.7,69.8,2.24
yeppoon,0,AU,1533708000,16,-23.13,150.74,73.4,4.7
mvuma,0,ZW,1533709339,55,-19.28,30.53,63.77,3.09
half moon bay,90,US,1533708000,100,37.46,-122.43,69.8,6.93
taltal,0,CL,1533709339,83,-25.41,-70.49,46.31,3.09
sao joao da barra,92,BR,1533709340,100,-21.64,-41.05,68.99,8.57
the valley,20,AI,1533708000,78,18.22,-63.06,80.6,10.29
udachnyy,8,RU,1533709340,50,66.42,112.4,67.19,4.72
barrow,92,AR,1533709177,98,-38.31,-60.23,49.01,24.45
fort nelson,75,CA,1533708000,59,58.81,-122.69,64.4,4.7
roma,0,IT,1533708000,83,41.89,12.48,75.2,3.36
mut,0,TR,1533709341,44,36.64,33.44,78.35,3.49
orange,88,AU,1533709176,69,-33.28,149.1,53.06,11.92
